Name,Year,Annual_Profit,E,S,G,ESG
PhosAgro,2019,248,0,0,0,0
Polyus,2019,257,0,0,0,0
MTS,2019,476,0,0,0,0
Magnit,2019,1369,0,0,0,0
Sberbank,2019,2013,0,0,0,0
Tatneft,2019,932,7,2,14,2
Severstal,2021,835,23,2,17,14
NLTK,2020,667,8,3,18,6
Gazprom,2019,7659,14,3,8,3
Nornickel,2019,877,18,4,4,4
Severstal,2020,485,26,4,11,13
Lukoil,2019,7841,6,5,2,1
MTS,2020,494,20,6,3,5
Rosneft,2019,8676,10,7,18,9
MTS,2021,534,40,7,2,8
Rosneft,2021,8761,11,8,6,5
Rosseti,2019,1030,2,9,10,5
Polyus,2020,364,15,10,24,14
Lukoil,2020,5639,4,11,2,2
Nornickel,2021,1317,35,11,44,42
NLTK,2021,1191,4,12,11,4
Novatek,2019,852,3,14,17,10
Novatek,2021,1157,8,15,40,15
Nornickel,2020,1117,38,16,27,32
Gazprom,2020,6321,5,17,26,12
NLTK,2019,682,15,18,5,11
Rosneft,2020,5757,7,19,21,15
Polyus,2021,365,2,22,18,6
Severstal,2019,527,19,22,11,19
Novatek,2020,711,25,23,25,26
Surgutneftegas,2019,1815,9,25,19,21
Lukoil,2021,9431,10,25,3,9
PhosAgro,2020,253,21,28,14,22
Mechel ,2019,287,26,28,6,26
Gazprom,2021,8745,9,29,28,18
Sberbank,2020,2182,39,32,17,33
Tatneft,2020,795,36,33,23,37
PhosAgro,2021,420,24,34,21,28
Rosseti,2020,1002,11,35,6,21
Magnit,2020,1554,35,38,37,38
Surgutneftegas,2020,1182,29,42,43,39
Sberbank,2021,2501,61,47,39,44
Tatneft,2021,1265,39,50,31,37
Mechel ,2020,265,51,52,42,47
Rosseti,2021,1081,49,60,51,50
Magnit,2021,1856,55,79,81,68
Surgutneftegas,2021,1536,34,107,100,77
Mechel ,2021,402,151,150,98,118
